ESPECIE ARBUSTO,ALTURA,TIPOLOGÍA,UG,BARRIO,,DISTRITO,ELEMENTO,FECHAPLANT,CMARRAS,X,Y
Agave americana,19,Arbolado Viario,CL AMERICO VESPUCIO,TRIANA OESTE,,Triana,Arbusto,,0,"23,436,104","414,482,933"
Agave americana,18,Arbolado Viario,CL AMERICO VESPUCIO,TRIANA OESTE,,Triana,Arbusto,,0,"23,436,588","414,483,006"
Agave americana,17,Arbolado Viario,CL AMERICO VESPUCIO,TRIANA OESTE,,Triana,Arbusto,,0,"23,437,095","414,483,151"
Agave americana,08,Arbolado Viario,CL AMERICO VESPUCIO,TRIANA OESTE,,Triana,Arbusto,,0,"23,436,176","414,483,586"
Agave americana,17,Arbolado Viario,CL AMERICO VESPUCIO,TRIANA OESTE,,Triana,Arbusto,,0,"23,437,071","414,483,779"
Agave americana,14,Sin Recepcionar,CL RONDA DE CIRCUNVALACIóN SE-30,TRIANA OESTE,,Triana,Arbusto,,0,"23,497,360","414,493,854"
Agave americana,16,Sin Recepcionar,CL RONDA DE CIRCUNVALACIóN SE-30,TRIANA OESTE,,Triana,Arbusto,,0,"23,496,369","414,494,168"
Agave americana,17,Sin Recepcionar,CL RONDA DE CIRCUNVALACIóN SE-30,TRIANA OESTE,,Triana,Arbusto,,0,"23,496,877","414,494,628"
Agave americana,09,Sin Recepcionar,CL RONDA DE CIRCUNVALACIóN SE-30,TRIANA OESTE,,Triana,Arbusto,,0,"23,497,505","414,494,918"
Agave americana,19,Arbolado Viario,FLOTA DE INDIAS,TABLADA,,Los Remedios,Arbusto,,0,"23,456,321","414,028,926"
Agave americana,13,Parque Periurbano,Parque Infanta Elena,"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES",,Este-Alcosa-Torreblanca,Arbusto,,0,"24,007,521","414,311,738"
Agave americana,15,Parque Periurbano,Parque Infanta Elena,"PALACIO DE CONGRESOS-URBADIEZ-
ENTREPUENTES",,Este-Alcosa-Torreblanca,Arbusto,,0,"24,027,978","414,233,306"
