"","Especie","Porte","Origen","Importancia_polinizadores","Principal_grupo","Importancia_frugivoros","."
"361","Ruscus aculeatus","arbusto","nativa","baja","varios","alta",8
"362","Russelia equisetiformis","arbusto","exotica","baja","varios","nula",4
"363","Salvia microphylla","arbusto","exotica","baja","varios","nula",7
"364","Salvia officinalis","arbusto","nativa","alta","varios","nula",20
"365","Sambucus ebulus","arbusto","nativa","media","varios","alta",1
"366","Sanseviera sp","arbusto","exotica","nula","varios","nula",2
"367","Santolina chamaecyparissus","arbusto","nativa","alta","varios","nula",9
"368","Santolina sp","arbusto","nativa","alta","varios","nula",1
"369","Schefflera actinophylla","arbusto","exotica","baja","varios","nula",9
"370","Schefflera arboricola","arbusto","exotica","baja","varios","nula",16
"371","Schinus molle","arbol","exotica","baja","varios","nula",36
"372","Senecio lineatus","arbusto","exotica","media","varios","nula",6
"373","Senecio linifoliaster","arbusto","exotica","media","varios","nula",3
"374","Senecio sp","arbusto","exotica","media","varios","nula",1
"375","Solandra maxima","arbusto","exotica","baja","varios","nula",3
"376","Solanum jazminoide","arbusto","exotica","baja","varios","nula",1
"377","Solanum rantonetti","arbusto","exotica","baja","varios","nula",44
"378","Solanum sp","arbusto","exotica","baja","varios","nula",24
"379","Sophora japonica","arbol","exotica","media","varios","nula",28
"380","Sparmannia africana","arbusto","exotica","baja","varios","nula",2
"381","Spartium junceum","arbusto","nativa","media","varios","nula",27
"382","Spiraea cantoniensis","arbusto","exotica","media","varios","nula",19
"383","Spiraea japonica","arbusto","exotica","media","varios","nula",6
"384","Spiraea sp","arbusto","exotica","media","varios","nula",16
"385","Spiraea vanhouttei","arbusto","exotica","media","varios","nula",1
"386","Stephanotis floribunda","arbusto","exotica","baja","varios","nula",1
"387","Strelitzia nicolai","arbusto","exotica","nula","varios","nula",4
"388","Strelitzia reginae","arbusto","exotica","nula","varios","nula",42
"389","Symphoricarpus albus","arbusto","exotica","media","varios","nula",4
"390","Tabebuia impetiginosa","arbol","exotica","baja","varios","nula",1
"391","Tamarindus indica","arbusto","exotica","baja","varios","nula",2
"392","Tamarix africana","arbusto","nativa","alta","varios","nula",1
"393","Tamarix gallica","arbol","nativa","media","varios","nula",45
"394","Tamarix gallica","arbusto","nativa","media","varios","nula",125
"395","Tamarix sp","arbusto","nativa","media","varios","nula",38
"396","Taxodium distichum","arbol","exotica","nula","varios","nula",79
"397","Taxus baccata","arbusto","nativa","nula","varios","alta",12
"398","Tecomaria capensis","arbusto","exotica","baja","varios","nula",99
"399","Tetraclinis articulata","arbol","nativa","baja","varios","nula",14
"400","Teucrium fruticans","arbusto","nativa","alta","varios","nula",38
"401","Thevetia peruviana","arbusto","exotica","media","varios","nula",32
"402","Thevetia sp","arbusto","exotica","media","varios","nula",11
"403","Thuja occidentalis","arbusto","exotica","nula","varios","nula",27
"404","Thuja orientalis","arbol","exotica","nula","varios","nula",43
"405","Thuja orientalis","arbusto","exotica","nula","varios","nula",71
"406","Thuja plicata","arbol","exotica","nula","varios","nula",2
"407","Thuja sp","arbusto","exotica","nula","varios","nula",76
"408","Thymus vulgaris","arbusto","nativa","alta","varios","nula",4
"409","Tipuana tipu","arbol","exotica","baja","abeja_melifera","nula",373
"410","Trachelospermum jasminoides","arbusto","exotica","media","varios","nula",25
"411","Trachycarpus fortunei","arbusto","exotica","baja","varios","nula",9
"412","Tradescantia pallida","arbusto","exotica","media","varios","nula",3
"413","Typha sp","arbusto","nativa","nula","varios","nula",1
"414","Ulmus campestris","arbol","exotica","nula","varios","nula",1
"415","Ulmus minor","arbol","nativa","nula","varios","nula",20
"416","Ulmus minor","arbusto","nativa","nula","varios","nula",1
"417","Ulmus pumila","arbol","exotica","nula","varios","nula",600
"418","Ulmus pumila","arbusto","exotica","nula","varios","nula",16
"419","Ulmus sp","arbol","exotica","nula","varios","nula",1
"420","Ulmus umbraculifera","arbol","exotica","nula","varios","nula",20
"421","Viburnum lucidum","arbusto","nativa","media","varios","nula",29
"422","Viburnum rhythydophylum","arbusto","exotica","media","varios","nula",5
"423","Viburnum sp","arbusto","nativa","media","varios","nula",6
"424","Viburnum tinus","arbusto","nativa","media","varios","alta",178
"425","Vinca minor","arbusto","nativa","media","varios","nula",5
"426","Vitex agnus-castus","arbusto","nativa","alta","varios","alta",367
