id,Parque,Tipologia,Barrio,Distrito,exotica,nativa,pol_alta,pol_media,pol_baja,pol_nula,paj_alta,paj_nula
178,GLORIETA INGENIEROS INDUSTRIALES,Medianas y Glorietas,GIRALDA SUR,Sur,19,0,0,1,18,0,0,19
179,GLORIETA LAS CIGARRERAS,,LOS REMEDIOS,Los Remedios,6,0,0,0,6,0,0,6
180,GLORIETA LAS CIGARRERAS,Medianas y Glorietas,LOS REMEDIOS,Los Remedios,2,4,0,5,1,0,0,6
181,GLORIETA LETONIA,Medianas y Glorietas,BELLAVISTA,Bellavista-La Palmera,0,5,1,4,0,0,5,0
182,GLORIETA REPUBLICA DOMINICANA,Medianas y Glorietas,EL TARDON-EL CARMEN,Triana,4,0,0,4,0,0,4,0
183,GLORIETA REPUBLICA DOMINICANA,Medianas y Glorietas,LOS REMEDIOS,Los Remedios,5,0,0,0,5,0,0,5
184,GLORIETA REPUBLICA DOMINICANA,Medianas y Glorietas,TRIANA ESTE,Triana,1,0,0,1,0,0,1,0
185,Glorieta Vía Flavia cv Columbretes,,TORREBLANCA,Este-Alcosa-Torreblanca,7,3,0,6,4,0,9,1
186,GRAN PLAZA GLORIETA 1,Medianas y Glorietas,NERVION,Nervión,10,0,0,0,10,0,0,10
187,GRAN PLAZA GLORIETA 2,Medianas y Glorietas,CIUDAD JARDIN,Nervión,4,0,0,0,4,0,0,4
188,GRAN PLAZA GLORIETA 2,Medianas y Glorietas,NERVION,Nervión,5,0,0,0,5,0,0,5
189,"GRAN VÍA ( ANTIGUO COCA COLA),PARQUE",Parque Urbano,SANTA CLARA,San Pablo-Santa Justa,0,7,7,0,0,0,6,1
190,GRUPO SANTA JUSTA Y RUFINA,Sin Recepcionar,PARQUE MIRAFLORES,Macarena,2,0,0,0,2,0,0,2
191,GRUPO SANTA JUSTA Y RUFINA,Sin Recepcionar,VILLEGAS,Macarena,3,0,0,0,3,0,0,3
192,GUADALIMAR,Arbolado Viario,PEDRO SALVADOR-LAS PALMERITAS- GUADAIRA,Bellavista-La Palmera,4,1,0,0,5,0,0,5
193,"Hermenegildo Casas Jiménez, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,5,1,0,2,4,0,0,6
194,"HESPERIDES, JARDINES",Plaza o Jardín,LAS HUERTAS,San Pablo-Santa Justa,6,0,0,0,6,0,0,6
195,HILANDERAS (LAS),Plaza o Jardín,SAN PABLO A Y B,San Pablo-Santa Justa,0,1,0,0,1,0,0,1
196,"Indonesia, Calle",Arbolado Viario,COLORES-ENTREPARQUES,Este-Alcosa-Torreblanca,0,1,0,0,1,0,0,1
197,INMACULADO CORAZON DE MARIA,Plaza o Jardín,HELIOPOLIS,Bellavista-La Palmera,7,0,0,0,7,0,0,7
198,ISLETA CALLE BOGOTA,Plaza o Jardín,EL PORVENIR,Sur,1,0,0,0,0,1,0,1
199,ISLETA CALLE BOGOTA,Plaza o Jardín,TABLADILLA-LA ESTRELLA,Sur,1,0,0,0,1,0,0,1
200,ISLETA CALLE BOGOTA,Plaza o Jardín,TIRO DE LINEA-SANTA GENOVEVA,Sur,1,0,0,0,1,0,0,1
201,JARDIN AMERICANO,Parque Periurbano,TRIANA OESTE,Triana,239,1,1,52,175,12,0,240
202,JARDIN C/ TERMANCIA,Plaza o Jardín,TRIANA OESTE,Triana,3,2,0,4,1,0,2,3
